adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/epPPwAhuPKzqhgRJqRByGcOZgdM.jpg,[27],512064,en,Anne,A mentally ill woman with a severe personalty disorder develops a strange relationship with her dolls. She becomes victim to insomnia and even self-mutilation leaving her son to unfold the strange truth about Anne's illness.,5.947,/mD1agXv4utF5yZcf0pn78gwlHol.jpg,2018-10-10,Anne,False,3.6,14
False,,"[18, 16]",845953,es,Valeria,"Valeria travels in between the real world and her imagination to avoid the horrible truth of her life. Some things are unbearable, and some decisions can be the beginning of the end.",0.653,/mPU8cxFqDRLPx9GvY6aC9kKhfYQ.jpg,2020-06-28,Valeria,False,0.0,0
False,/l6hQWH9eDksNJNiXWYRkWqikOdu.jpg,"[14, 18, 80]",497,en,The Green Mile,"A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cell block's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution.",78.69,/velWPhVMQeQKcxggNEU8YmIo52R.jpg,1999-12-10,The Green Mile,False,8.5,14624
False,/3WjbxaqYB4vAbdUfdr5vbglD2JZ.jpg,"[18, 10749]",597,en,Titanic,"101-year-old Rose DeWitt Bukater tells the story of her life aboard the Titanic, 84 years later. A young Rose boards the ship with her mother and fiancé. Meanwhile, Jack Dawson and Fabrizio De Rossi win third-class tickets aboard the ship. Rose tells the whole story from Titanic's departure through to its death—on its first and last voyage—on April 15, 1912.",166.64,/9xjZS2rlVxm8SFx8kPC3aIGCOYQ.jpg,1997-11-18,Titanic,False,7.9,21772
False,/oWKcexbupmmdUEtU8h0WK1DUWmt.jpg,"[18, 53, 80]",146233,en,Prisoners,"Keller Dover faces a parent's worst nightmare when his 6-year-old daughter, Anna, and her friend go missing. The only lead is an old motorhome that had been parked on their street. The head of the investigation, Detective Loki, arrests the driver, but a lack of evidence forces Loki to release his only suspect. Dover, knowing that his daughter's life is at stake, decides that he has no choice but to take matters into his own hands.",39.958,/tJE5Xs8Z1ZQPNBv71AWZ95L1o6C.jpg,2013-09-18,Prisoners,False,8.1,9730
False,/75w7mMP0mRXquMqIgXidJz2IjJH.jpg,[99],570973,en,Last Breath,"A commercial diver is stranded on the seabed with only five minutes of oxygen supply, but with no chance of rescue for more than 30 minutes. With access to amazing archival footage, this is the true story of one man’s impossible fight for survival.",9.544,/zfTNsILhmDiChJJ7Zxxl8IUvkUM.jpg,2019-04-05,Last Breath,False,7.6,72
False,/7IwLNl9MJbj47pObu8xMDUbIesv.jpg,"[27, 53]",676547,en,Prey for the Devil,"In response to a global rise in demonic possessions, the Catholic Church reopens exorcism schools to train priests in the Rite of Exorcism. On this spiritual battlefield, an unlikely warrior rises: a young nun, Sister Ann. Thrust onto the spiritual frontline with fellow student Father Dante, Sister Ann finds herself in a battle for the soul of a young girl and soon realizes the Devil has her right where he wants her.",109.492,/w3s6XEDNVGq5LUlghqs6VlvsvL6.jpg,2022-10-23,Prey for the Devil,False,5.9,54
False,,[16],505895,en,Big Mouth,"This animated short tells the story of Trudy, a little girl who is equal parts truthful and rude. A bright-minded and quick-witted child, Trudy has an unfiltered and deeply curious way of looking at the world. Here, events force her to question what it means to speak the truth, and comes to understand how our differences make us unique.",0.6,/db0x8zc8QSdX7gDct2o1ozVu4QM.jpg,2012-01-01,Big Mouth,False,0.0,0
False,/kODNw6GJNdgldUMEhKPlCw8wQCr.jpg,"[18, 28]",312221,en,Creed,"The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson, the son of his late friend and former rival Apollo Creed.",109.616,/8OkGJkcgdW24F7BgIv39uEqspNy.jpg,2015-11-25,Creed,False,7.4,6206
False,/uv5cEAh4O99ZTBUe6q2QdvsLjny.jpg,"[28, 35, 99]",12094,en,Jackass Number Two,"Jackass Number Two is a compilation of various stunts, pranks and skits, and essentially has no plot. Chris Pontius, Johnny Knoxville, Steve-O, Bam Margera, and the whole crew return to the screen to raise the stakes higher than ever before.",13.15,/u73V8dMqUwjtPL6gWesCE7ji9GU.jpg,2006-09-22,Jackass Number Two,False,6.5,930
False,/c6OLXfKAk5BKeR6broC8pYiCquX.jpg,"[18, 53, 35]",550,en,Fight Club,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",149.164,/pB8BM7pdSp6B6Ih7QZ4DrQ3PmJK.jpg,1999-10-15,Fight Club,False,8.4,25177
False,/jsoz1HlxczSuTx0mDl2h0lxy36l.jpg,"[14, 28, 35]",616037,en,Thor: Love and Thunder,"After his retirement is interrupted by Gorr the God Butcher, a galactic killer who seeks the extinction of the gods, Thor Odinson enlists the help of King Valkyrie, Korg, and ex-girlfriend Jane Foster, who now wields Mjolnir as the Mighty Thor. Together they embark upon a harrowing cosmic adventure to uncover the mystery of the God Butcher’s vengeance and stop him before it’s too late.",845.188,/pIkRyD18kl4FhoCNQuWxWu5cBLM.jpg,2022-07-06,Thor: Love and Thunder,False,6.7,4662
False,/syVAWAnY6fTBDDFntHsM8vFjKex.jpg,"[28, 80, 18, 53]",136797,en,Need for Speed,"The film revolves around a local street-racer who partners with a rich and arrogant business associate, only to find himself framed by his colleague and sent to prison. After he gets out, he joins a New York-to-Los Angeles race to get revenge. But when the ex-partner learns of the scheme, he puts a massive bounty on the racer's head, forcing him to run a cross-country gauntlet of illegal racers in all manner of supercharged vehicles.",70.215,/z42kyMizgDKetejusZgucSQsQ4l.jpg,2014-03-12,Need for Speed,False,6.4,3750
